,distance,experiment,rx_label,tx_label,run,mean,trim_mean,median,std,dis1,dis2,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur,len
0,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,1,-31.7,-32.0,-33.0,2.0024984394500787,1.8200000000000003,1.3,3.0,-0.06317029777445043,-33.0,-30.0,3.0,-28.0,-33.0,5.0,0.9295121517935443,-1.049160142038919,10
1,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,2,-32.7,-32.625,-33.0,1.6155494421403511,1.0799999999999983,0.9,3.0,-0.0494051817168303,-33.0,-33.0,0.0,-30.0,-36.0,6.0,0.07683945028016469,0.3020214030915591,10
2,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,3,-28.0,-28.0,-28.0,0.0,0.0,0.0,1.0,-0.0,-28.0,-28.0,0.0,-28.0,-28.0,0.0,0.0,-3.0,10
3,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,4,-36.5,-36.5,-36.5,1.5,1.5,1.5,2.0,-0.0410958904109589,-38.0,-35.0,3.0,-35.0,-38.0,3.0,0.0,-2.0,10
4,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,5,-37.4,-37.25,-38.0,1.8,1.4400000000000006,1.2,3.0,-0.04812834224598931,-38.0,-35.75,2.25,-35.0,-41.0,6.0,-0.11111111111111335,-0.4444444444444451,10
5,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,6,-38.0,-38.0,-38.0,0.0,0.0,0.0,1.0,-0.0,-38.0,-38.0,0.0,-38.0,-38.0,0.0,0.0,-3.0,10
6,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,1,-29.2,-29.0,-29.0,1.469693845669907,1.1199999999999997,1.0,3.0,-0.0503319810160927,-29.0,-28.0,1.0,-28.0,-32.0,4.0,-1.1642636431747215,-0.18724279835390734,10
7,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,2,-31.1,-31.25,-32.0,1.374772708486752,1.2599999999999993,0.9,2.0,-0.044204910240731574,-32.0,-29.75,2.25,-29.0,-32.0,3.0,0.8728715609439724,-1.2380952380952344,10
8,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,3,-29.1,-28.75,-29.0,1.4456832294800963,0.9600000000000009,0.9,4.0,-0.049679836064608116,-29.0,-28.0,1.0,-28.0,-33.0,5.0,-1.8110342326675384,2.445319475286732,10
9,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,4,-37.9,-38.125,-38.0,1.9209372712298547,1.3600000000000008,1.3,4.0,-0.050684360718465826,-39.5,-38.0,1.5,-34.0,-40.0,6.0,0.7889102768573464,-0.3530085707361166,10
