run,environment,distance,experiment,rx_label,tx_label,mean,trim_mean,median,std,dis1,dis2,dis21,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur
1,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-30.306878306878307,-30.263157894736842,-29.0,2.190164968655567,2.0946502057613143,1.82010582010582,3.8240879673879404,5.0,-0.07217061369125087,-33.0,-28.0,5.0,-27.0,-33.0,6.0,-0.34741821871757783,-1.7368894752425141
2,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-29.895833333333332,-29.736979166666668,-29.0,2.061067515659249,1.817708333333337,1.5041666666666667,5.217258386370739,5.0,-0.06886977954442139,-33.0,-28.0,5.0,-28.0,-36.0,8.0,-0.7715566118221926,-1.1216424538789718
3,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-30.06188118811881,-29.953703703703702,-29.0,2.007092245297676,1.807935496519952,1.4777227722772277,3.7768425580201934,5.0,-0.06668267593261304,-33.0,-29.0,4.0,-28.0,-33.0,5.0,-0.6617289871344114,-1.339202795404992
4,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-36.48264984227129,-36.286274509803924,-35.0,1.8819214646614413,1.7407676462100317,1.5772870662460567,5.156352793412217,7.0,-0.05150258541374483,-38.0,-35.0,3.0,-34.0,-41.0,7.0,-0.626239492101233,-0.7532523126308308
5,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-36.68767123287671,-36.62457337883959,-38.0,1.9218198510700437,1.763858134734472,1.6849315068493151,3.82516518533423,9.0,-0.05231145371177769,-38.0,-35.0,3.0,-33.0,-41.0,8.0,-0.29021649251373244,-0.8163076877173614
6,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-36.61538461538461,-36.48076923076923,-35.0,1.9025876116067864,1.7710059171597603,1.7461538461538462,5.183046766846505,7.0,-0.051861404279736324,-38.0,-35.0,3.0,-34.0,-41.0,7.0,-0.41485234464626636,-0.9227783433138979
1,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-29.847305389221557,-29.76492537313433,-29.0,1.8722026779754157,1.7223277994908397,1.4940119760479043,3.537041341577641,5.0,-0.06263204848824006,-32.0,-28.0,4.0,-27.0,-33.0,6.0,-0.39545204094323794,-1.4254574819353485
2,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-29.40625,-29.23051948051948,-29.0,1.641995379124215,1.3375651041666667,1.1302083333333333,5.2727374471680255,6.0,-0.05576555904120874,-29.0,-28.0,1.0,-27.0,-36.0,9.0,-1.0273928863542647,-0.17525632720802387
3,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-29.935211267605634,-29.7859649122807,-29.0,1.8499579008455642,1.677968657012492,1.380281690140845,5.292563925171568,6.0,-0.06171162355670007,-32.0,-29.0,3.0,-28.0,-36.0,8.0,-0.6660042940180841,-1.0735944420809047
4,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-36.82116788321168,-36.81363636363636,-38.0,1.8399685718344108,1.690606851723588,1.5145985401459854,4.138255806770758,7.0,-0.049879132070545416,-38.0,-35.0,3.0,-33.0,-40.0,7.0,0.14232019511546748,-1.1618507531846864
5,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-36.034220532319395,-35.976303317535546,-35.0,1.6813889378547051,1.5268689730948874,1.247148288973384,4.233925168343738,6.0,-0.04657210040358076,-38.0,-35.0,3.0,-33.0,-40.0,7.0,-0.5252916913540827,-0.9068239242157263
6,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-36.57741935483871,-36.59274193548387,-38.0,1.7950326420519331,1.6868262226847048,1.6225806451612903,4.283742545537192,8.0,-0.048995667849175834,-38.0,-35.0,3.0,-33.0,-41.0,8.0,0.0355258848033928,-1.1014193766128082
1,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-43.836666666666666,-44.045833333333334,-46.0,2.7156160979651225,2.6104222222222186,2.1633333333333336,5.6150878515357565,4.0,-0.06184517435511093,-46.0,-41.0,5.0,-40.0,-46.0,6.0,0.5087448745538784,-1.6521073186637043
2,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-44.18208092485549,-44.356115107913666,-46.0,2.1693042374437956,2.1121487520465108,1.8179190751445087,5.308864109698498,4.0,-0.04902818271695407,-46.0,-42.0,4.0,-39.0,-46.0,7.0,0.40716428823804585,-1.7064181317441718
3,indoor,0.0,X-d0.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-43.928104575163395,-43.951219512195124,-42.0,2.0473239636117686,2.031270024349609,1.9934640522875817,3.8664793748169375,4.0,-0.04653002776290022,-46.0,-42.0,4.0,-40.0,-46.0,6.0,0.006180120557664438,-1.9081308860883388
1,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-51.82028985507247,-51.73646209386282,-51.0,2.5144107746441864,2.3124721697122474,2.1246376811594203,4.454341055908023,8.0,-0.04845137037273814,-54.0,-50.0,4.0,-48.0,-56.0,8.0,-0.36745978708021876,-1.3490654247822318
2,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-52.12162162162162,-52.179054054054056,-51.0,2.5974382976502763,2.467421475529584,2.424324324324324,4.3953799655487495,8.0,-0.0497667914068448,-55.0,-50.0,5.0,-48.0,-56.0,8.0,0.0009301488125290344,-1.555227617847474
3,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-52.41612903225806,-52.5,-53.5,2.6324581857650946,2.5037669094692974,2.5,4.859786857494032,9.0,-0.05014122378630719,-55.0,-50.0,5.0,-48.0,-56.0,8.0,0.12767495715408841,-1.5831417535448475
4,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-69.79005524861878,-69.60344827586206,-68.0,2.5557735404943305,2.276639907206735,2.0497237569060776,7.628858934866281,9.0,-0.036570268015720254,-72.0,-68.0,4.0,-65.0,-77.0,12.0,-0.7092582409829448,0.03788187544424604
5,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-70.05524861878453,-69.84482758620689,-69.0,2.667593055190496,2.375354842648273,2.276243093922652,6.916927195334081,9.0,-0.03802578734411224,-72.0,-68.0,4.0,-66.0,-77.0,11.0,-0.677181876910553,-0.07015160292558775
6,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,-69.9322033898305,-69.72535211267606,-70.0,2.4404365474408047,1.9214785023460679,1.9096045197740112,5.246970311386142,10.0,-0.03484785331091295,-71.0,-68.0,3.0,-65.0,-76.0,11.0,-0.6807342078722952,0.43428911375708745
1,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-51.797872340425535,-51.889380530973455,-51.0,2.3618247389516545,2.2317790855590802,2.1808510638297873,3.559481335370772,6.0,-0.04551602760638165,-54.0,-50.0,4.0,-48.0,-55.0,7.0,0.10991053946150106,-1.5384730848884118
2,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-51.44407894736842,-51.47950819672131,-50.0,2.502176835844972,2.313906682825487,2.2401315789473686,4.652584645282599,8.0,-0.04855870830153196,-54.0,-50.0,4.0,-47.0,-56.0,9.0,0.00019874698335051587,-1.5178259409647288
3,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-51.86644951140065,-51.983805668016196,-51.0,2.2877368658160453,2.1956519432566943,2.175895765472313,3.488726965692445,6.0,-0.04403632584082691,-54.0,-50.0,4.0,-48.0,-55.0,7.0,0.14068629867522894,-1.597117292225635
4,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-69.2109375,-69.23300970873787,-68.0,2.373554771835256,2.01239013671875,1.8515625,6.742686661245154,10.0,-0.03422745699133535,-71.0,-68.0,3.0,-64.0,-76.0,12.0,-0.3157297432986613,0.36265149724106216
5,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-69.64238410596026,-69.64876033057851,-71.0,2.2482015576898413,1.9205736590500444,1.8278145695364238,5.234978631667244,8.0,-0.032228596308132774,-71.0,-68.0,3.0,-65.0,-76.0,11.0,-0.24834375069389994,0.586114880505209
6,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,-68.644128113879,-68.65333333333334,-70.0,2.1583830020476404,1.9035473208292712,1.7971530249110321,4.502409031213891,8.0,-0.03138708436037863,-70.0,-67.0,3.0,-65.0,-74.0,9.0,-0.11004665031771864,-0.3694124956257685
1,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-66.92270531400966,-66.65868263473054,-67.0,1.2478394629758969,0.731779038017224,0.714975845410628,4.815601162678791,9.0,-0.018600887443344476,-67.0,-66.0,1.0,-65.0,-73.0,8.0,-2.535669867754334,7.742468404031396
2,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-63.77290836653386,-63.81094527363184,-64.0,1.106446161170854,0.9599530166187833,0.9282868525896414,1.8388405166083333,5.0,-0.017315187808702837,-65.0,-63.0,2.0,-62.0,-66.0,4.0,0.09336149261591585,-1.0948722077482298
3,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-70.20567375886525,-70.18141592920354,-70.0,4.218275322623976,3.5802525023892184,3.524822695035461,5.298281438210766,7.0,-0.05997790838433877,-75.0,-65.0,10.0,-65.0,-76.0,11.0,0.022779426159053876,-1.5368338155415069
4,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-72.02150537634408,-72.22666666666667,-76.0,5.359007400220538,5.083670559216871,4.236559139784946,10.48110007808744,7.0,-0.07427496544540312,-76.0,-65.0,11.0,-65.0,-86.0,21.0,0.48086234466487954,-1.5374824919253163
5,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-71.54448398576513,-71.4888888888889,-71.0,1.306158421503323,1.1784551867377566,1.106761565836299,2.60941190061116,5.0,-0.01822407755492377,-73.0,-70.0,3.0,-70.0,-74.0,4.0,-0.2686934298105547,-1.3226655986070308
6,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,-70.24691358024691,-69.7025641025641,-68.0,6.2440666663499895,5.419600670629467,4.724279835390947,12.822926458183936,19.0,-0.0887043320442523,-76.5,-64.0,12.5,-63.0,-84.0,21.0,-0.6883065371787367,-1.0466748647763149
1,indoor,0.5,X-d0.5m0dbm_in_M-R_bluetooth_le_null_D.csv,D,C,-64.7844522968198,-64.87224669603525,-65.0,0.5517592434996088,0.3937369676235155,0.26501766784452296,1.72055232850028,5.0,-0.008501785870360518,-65.0,-65.0,0.0,-63.0,-67.0,4.0,1.324938132070762,3.3138920957190905
