Run ID,Name,Source Type,Source Name,User,Status,feature_1,feature_2,feature_3,scores,scores_indoor,scores_indoor_mean,scores_indoor_se,scores_mean,scores_outdoor,scores_outdoor_mean,scores_outdoor_se,scores_se,score_in_test
41b1d8f39b0f4808950c4a89378c6bd0,,LOCAL,full_dataset.py,localadmin,FINISHED,min,q3q1_ran,kur,"[0.7254902  0.7173913  0.64285714 0.85714286 0.87804878 0.8
 0.65217391 0.65957447 0.64583333 0.77777778 0.70212766 0.75
 0.61403509 0.69767442 0.91111111 0.63043478 0.8        0.6
 0.76086957 0.81818182 0.76744186 0.71428571 0.72727273 0.75
 0.51111111]","[0.66666667 0.59090909 0.38095238 0.88888889 0.66666667 0.73684211
 0.65217391 0.6        0.65       0.86666667 0.65       0.5
 0.7        0.6875     0.60869565 0.55       0.61111111 0.5625
 0.77272727 0.66666667 0.66666667 0.625      0.63157895 0.59090909
 0.81818182]",0.6536521441944783,0.02182501278503426,0.7244334251722344,"[0.91176471 0.93333333 0.92857143 0.95833333 0.95652174 0.83333333
 0.96       1.         0.96551724 1.         0.85185185 0.87096774
 0.95652174 1.         0.90322581 0.96774194 0.91666667 0.93103448
 0.88       1.         0.96428571 0.96428571 0.96666667 0.85714286
 1.        ]",0.9391106516649208,0.009991814001230868,0.018674732927677296,0.7833333333333333
fd1841235cd645f5ac3d869109d74cd3,,LOCAL,full_dataset.py,localadmin,FINISHED,min,q3q1_ran,skew,"[0.78431373 0.7826087  0.69642857 0.80952381 0.82926829 0.82
 0.84782609 0.65957447 0.75       0.77777778 0.78723404 0.79545455
 0.63157895 0.81395349 0.93333333 0.67391304 0.84       0.74
 0.73913043 0.77272727 0.74418605 0.73469388 0.76363636 0.79545455
 0.73333333]","[0.72222222 0.72727273 0.47619048 0.94444444 0.72222222 0.73684211
 0.7826087  0.7        0.8        0.8        0.7        0.5
 0.55       0.75       0.56521739 0.65       0.72222222 0.75
 0.68181818 0.71428571 0.83333333 0.625      0.63157895 0.68181818
 0.81818182]",0.7034103473439858,0.021254121119145552,0.770238028086148,"[0.94117647 0.93333333 0.89285714 0.95833333 0.95652174 0.86666667
 0.96       0.96153846 0.93103448 1.         0.92592593 0.96774194
 0.86956522 1.         0.87096774 0.96774194 0.91666667 0.86206897
 0.8        1.         0.96428571 0.96428571 0.96666667 0.92857143
 0.96      ]",0.9346379816968047,0.009948489469496096,0.01295602197061548,0.85
9abc6e31d26b4caaa1ffa995e9ba6d95,,LOCAL,full_dataset.py,localadmin,FINISHED,min,q3q1_ran,conteo,"[0.7254902  0.76086957 0.71428571 0.85714286 0.82926829 0.82
 0.82608696 0.68085106 0.77083333 0.91111111 0.74468085 0.79545455
 0.66666667 0.8372093  0.86666667 0.65217391 0.88       0.8
 0.69565217 0.81818182 0.8372093  0.7755102  0.70909091 0.84090909
 0.71111111]","[0.72222222 0.68181818 0.33333333 0.94444444 0.83333333 0.63157895
 0.60869565 0.75       0.8        0.86666667 0.55       0.61111111
 0.65       0.875      0.65217391 0.75       0.83333333 0.6875
 0.72727273 0.76190476 0.66666667 0.875      0.57894737 0.72727273
 0.81818182]",0.7174582883427276,0.026153387713479248,0.78105822580149,"[0.94117647 0.96666667 0.85714286 0.95833333 0.95652174 0.9
 0.96       0.96153846 0.86206897 0.96551724 0.81481481 0.93548387
 0.95652174 0.96296296 0.87096774 1.         0.91666667 0.89655172
 0.84       0.96666667 0.92857143 0.92857143 0.96666667 0.85714286
 1.        ]",0.9268221721412649,0.010203935256749178,0.014378116337515973,0.8
7a4e4843d06841479b8f214b9142e80f,,LOCAL,full_dataset.py,localadmin,FINISHED,min,range,kur,"[0.90196078 0.89130435 0.83928571 0.97619048 0.97560976 0.94
 0.84782609 0.85106383 0.85416667 0.97777778 0.89361702 0.95454545
 0.84210526 0.95348837 0.93333333 0.95652174 0.94       0.9
 0.89130435 0.93181818 0.95348837 0.95918367 0.81818182 0.88636364
 0.93333333]","[0.83333333 0.59090909 0.38095238 0.88888889 0.66666667 0.36842105
 0.56521739 0.7        0.75       0.86666667 0.65       0.61111111
 0.9        0.75       0.69565217 0.5        0.88888889 0.75
 0.72727273 0.71428571 0.55555556 0.5        0.78947368 0.72727273
 0.68181818]",0.6820954494272573,0.029456908272825856,0.9120987994609588,"[0.94117647 0.96666667 0.89285714 0.95833333 1.         0.9
 0.96       1.         0.93103448 0.96551724 0.77777778 0.93548387
 0.95652174 1.         0.90322581 1.         0.91666667 0.96551724
 0.92       0.96666667 0.96428571 0.96428571 0.96666667 0.89285714
 1.        ]",0.9458216137887504,0.009792588760896673,0.009752991085835678,0.85
d95382bd8c464a3da7cee0c17d7a1700,,LOCAL,full_dataset.py,localadmin,FINISHED,min,range,skew,"[0.88235294 0.89130435 0.80357143 0.97619048 0.97560976 0.88
 0.91304348 0.82978723 0.83333333 0.95555556 0.80851064 0.95454545
 0.84210526 0.95348837 0.91111111 0.89130435 0.94       0.92
 0.76086957 0.93181818 0.95348837 0.95918367 0.83636364 0.81818182
 0.84444444]","[0.83333333 0.63636364 0.76190476 0.83333333 1.         0.31578947
 0.7826087  0.7        0.85       0.86666667 0.8        0.77777778
 0.75       0.875      0.82608696 0.8        0.77777778 0.875
 0.81818182 0.66666667 0.83333333 1.         0.52631579 0.59090909
 0.72727273]",0.7689728735541093,0.02877032507023209,0.8906465371869463,"[0.94117647 0.96666667 0.85714286 0.95833333 1.         0.9
 0.96       1.         0.93103448 0.96551724 0.77777778 0.93548387
 0.95652174 1.         0.90322581 1.         0.91666667 0.96551724
 0.92       0.96666667 0.96428571 0.96428571 0.93333333 0.85714286
 1.        ]",0.9416311375982741,0.010562251088514319,0.012407791261529143,0.8166666666666667
dcefa733e4f94ab8b1621638ff52e35e,,LOCAL,full_dataset.py,localadmin,FINISHED,min,range,conteo,"[0.78431373 0.82608696 0.78571429 0.88095238 0.82926829 0.9
 0.93478261 0.72340426 0.85416667 0.84444444 0.85106383 0.88636364
 0.78947368 0.81395349 0.86666667 0.73913043 0.88       0.88
 0.80434783 0.90909091 0.90697674 0.81632653 0.78181818 0.90909091
 0.86666667]","[0.83333333 0.68181818 0.52380952 0.94444444 0.72222222 0.52631579
 0.69565217 0.8        0.75       0.93333333 0.55       0.83333333
 0.8        0.75       0.7826087  0.9        0.88888889 0.75
 0.72727273 0.71428571 0.77777778 0.875      0.73684211 0.86363636
 0.68181818]",0.7616957116110434,0.022921493460369403,0.8425641249688849,"[0.94117647 0.96666667 0.89285714 0.95833333 1.         0.9
 0.96       1.         0.93103448 0.96551724 0.81481481 0.96774194
 0.95652174 1.         0.90322581 1.         0.91666667 0.96551724
 0.92       0.96666667 0.96428571 0.96428571 0.93333333 0.89285714
 1.        ]",0.9472600845175436,0.008803812610173772,0.011091886799545187,0.8333333333333334
19d2e586dc5947748fb6dfea3b5d94c4,,LOCAL,full_dataset.py,localadmin,FINISHED,min,dis2,kur,"[0.74509804 0.84782609 0.67857143 0.92857143 0.95121951 0.8
 0.91304348 0.63829787 0.8125     0.88888889 0.80851064 0.90909091
 0.61403509 0.93023256 0.97777778 0.80434783 0.86       0.68
 0.86956522 0.86363636 0.95348837 0.73469388 0.65454545 0.81818182
 0.77777778]","[0.61111111 0.54545455 0.42857143 0.94444444 0.72222222 0.52631579
 0.47826087 0.75       0.7        0.86666667 0.7        0.5
 0.65       0.75       0.56521739 0.5        0.66666667 0.75
 0.77272727 0.76190476 0.55555556 0.5625     0.57894737 0.77272727
 0.77272727]",0.657280825581741,0.02615965599972981,0.8183960165315792,"[0.88235294 0.93333333 0.78571429 0.95833333 0.91304348 0.83333333
 0.96       0.92307692 0.86206897 0.93103448 0.85185185 0.90322581
 0.86956522 0.96296296 0.87096774 1.         0.91666667 0.89655172
 0.72       1.         0.92857143 0.92857143 0.93333333 0.82142857
 1.        ]",0.9034395123922795,0.013441777797795757,0.021205441116889136,0.7666666666666667
1ea171ec9bca4933b34ecdc2c44108f9,,LOCAL,full_dataset.py,localadmin,FINISHED,min,dis2,skew,"[0.7254902  0.89130435 0.64285714 0.83333333 0.92682927 0.84
 0.91304348 0.61702128 0.77083333 0.82222222 0.74468085 0.88636364
 0.56140351 0.8372093  0.84444444 0.73913043 0.84       0.74
 0.73913043 0.77272727 0.88372093 0.65306122 0.76363636 0.79545455
 0.84444444]","[0.77777778 0.81818182 0.61904762 0.88888889 0.72222222 0.63157895
 0.69565217 0.8        0.7        0.8        0.75       0.44444444
 0.75       0.8125     0.69565217 0.6        0.61111111 0.75
 0.81818182 0.76190476 0.83333333 0.8125     0.52631579 0.77272727
 0.86363636]",0.7302262606450249,0.021542695818217897,0.7851336796927787,"[0.82352941 0.93333333 0.78571429 0.95833333 0.86956522 0.8
 0.96       0.88461538 0.82758621 0.89655172 0.85185185 0.87096774
 0.82608696 0.96296296 0.87096774 0.96774194 0.91666667 0.89655172
 0.68       1.         0.89285714 0.89285714 0.9        0.78571429
 0.96      ]",0.8805782020044558,0.01457650410373527,0.01895335178385039,0.7833333333333333
79bc112fc8134edba5c5344673b1c650,,LOCAL,full_dataset.py,localadmin,FINISHED,min,dis2,conteo,"[0.82352941 0.89130435 0.78571429 0.85714286 0.82926829 0.88
 0.84782609 0.70212766 0.85416667 0.86666667 0.80851064 0.88636364
 0.77192982 0.81395349 0.86666667 0.76086957 0.9        0.86
 0.76086957 0.88636364 0.93023256 0.79591837 0.72727273 0.86363636
 0.86666667]","[0.77777778 0.81818182 0.66666667 0.88888889 0.88888889 0.68421053
 0.69565217 0.85       0.7        0.93333333 0.6        0.77777778
 0.85       0.75       0.82608696 0.85       0.83333333 0.75
 0.72727273 0.71428571 0.77777778 0.875      0.68421053 0.72727273
 0.77272727]",0.7767737954900426,0.01663191894945574,0.8334799991647003,"[0.94117647 0.93333333 0.85714286 0.91666667 0.95652174 0.86666667
 0.92       0.96153846 0.86206897 1.         0.85185185 0.87096774
 0.95652174 0.96296296 0.93548387 0.96774194 0.91666667 0.93103448
 0.88       0.93333333 0.89285714 0.92857143 0.96666667 0.85714286
 0.96      ]",0.9210767136365183,0.008506446524717898,0.011451193144562465,0.85
6cedcc3679a74d26916c4bf022a3d15a,,LOCAL,full_dataset.py,localadmin,FINISHED,min,dis1,kur,"[0.7254902  0.82608696 0.64285714 0.92857143 0.92682927 0.74
 0.93478261 0.70212766 0.79166667 0.86666667 0.85106383 0.86363636
 0.61403509 0.93023256 0.91111111 0.82608696 0.86       0.64
 0.89130435 0.86363636 0.95348837 0.73469388 0.69090909 0.88636364
 0.77777778]","[0.61111111 0.54545455 0.38095238 0.83333333 0.72222222 0.52631579
 0.52173913 0.6        0.6        0.86666667 0.65       0.5
 0.6        0.6875     0.56521739 0.5        0.55555556 0.75
 0.77272727 0.76190476 0.61111111 0.5625     0.47368421 0.81818182
 0.68181818]",0.6279198193111237,0.024742430697824672,0.8151767186798864,"[0.88235294 0.93333333 0.78571429 0.95833333 0.91304348 0.9
 0.96       0.92307692 0.86206897 0.96551724 0.85185185 0.90322581
 0.82608696 0.96296296 0.87096774 1.         0.875      0.89655172
 0.76       1.         0.89285714 0.96428571 0.9        0.82142857
 1.        ]",0.9043463589689911,0.012951270100257362,0.020580454264564396,0.7
