Run ID,Name,Source Type,Source Name,User,Status,feature_1,feature_2,feature_3,scores,scores_mean,scores_se,score_in_test
e3c22b7d01144da9b83db0ad502bd2e2,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,q3q1_ran,kur,"[0.78947368 0.88235294 0.68421053 0.63636364 0.75       0.5
 0.58823529 0.9        1.         0.65217391 0.79166667 0.72222222
 0.73333333 0.52631579 0.66666667 0.68181818 0.80952381 0.78947368
 0.6        0.66666667 0.64705882 0.65384615 0.9047619  0.75
 0.66666667]",0.7197132225845376,0.024024975069655223,0.8
c8d09b0fec01413ab4f156782c1b82f3,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,q3q1_ran,skew,"[0.73684211 0.94117647 0.73684211 0.68181818 0.85       0.6
 0.76470588 0.9        0.94117647 0.82608696 0.91666667 0.72222222
 0.8        0.78947368 0.76190476 0.68181818 0.80952381 0.84210526
 0.8        0.86666667 0.76470588 0.69230769 0.95238095 1.
 0.80952381]",0.807517910605271,0.01968379431749897,0.76
b8d0e629dda44b9eb03233c412bc1888,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,q3q1_ran,conteo,"[0.73684211 0.76470588 0.73684211 0.77272727 0.95       0.7
 0.82352941 0.6        0.82352941 0.86956522 0.83333333 0.77777778
 0.86666667 0.68421053 0.80952381 0.68181818 0.80952381 0.89473684
 0.65       0.73333333 0.76470588 0.69230769 0.9047619  0.91666667
 0.66666667]",0.7785509799872433,0.01833230710501054,0.72
949b1b8cbf4a4d0885e966990aa3bf61,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,range,kur,"[0.73684211 0.82352941 0.73684211 0.63636364 0.7        0.65
 0.58823529 0.9        0.94117647 0.82608696 0.75       0.83333333
 0.8        0.57894737 0.61904762 0.63636364 0.71428571 0.78947368
 0.6        0.66666667 0.64705882 0.69230769 0.61904762 0.75
 0.80952381]",0.7218052778647744,0.01991474361402303,0.64
f6335a35eb764f8da715951232213302,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,range,skew,"[0.73684211 0.94117647 0.78947368 0.54545455 0.7        0.6
 0.52941176 0.9        0.58823529 0.82608696 0.875      0.72222222
 1.         0.57894737 0.71428571 0.68181818 0.76190476 0.84210526
 0.8        0.66666667 0.70588235 0.53846154 0.9047619  0.75
 0.80952381]",0.7403304242010662,0.0262118271362488,0.76
87426fb0a98348d58a501f5550dd0a84,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,range,conteo,"[0.57894737 0.70588235 0.89473684 0.54545455 0.95       0.8
 0.70588235 0.7        0.76470588 0.82608696 0.75       0.77777778
 0.93333333 0.68421053 0.76190476 0.54545455 0.76190476 1.
 0.8        0.8        0.76470588 0.61538462 0.95238095 0.83333333
 0.85714286]",0.7723691859209425,0.024511501389968764,0.72
adf9c8c8e8004966996e68f188c2591d,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,dis2,kur,"[0.78947368 0.82352941 0.78947368 0.63636364 0.8        0.55
 0.52941176 0.85       0.94117647 0.65217391 0.70833333 0.77777778
 0.86666667 0.52631579 0.66666667 0.63636364 0.66666667 0.78947368
 0.6        0.73333333 0.58823529 0.69230769 0.76190476 0.75
 0.71428571]",0.713597343279804,0.021748173567442942,0.68
6882d490e5894e5da3d8bda0560e830a,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,dis2,skew,"[0.73684211 0.94117647 0.78947368 0.5        0.85       0.6
 0.70588235 0.85       0.88235294 0.82608696 0.875      0.77777778
 0.86666667 0.63157895 0.71428571 0.68181818 0.76190476 0.89473684
 0.8        0.86666667 0.76470588 0.61538462 0.80952381 0.83333333
 0.85714286]",0.7772936226812927,0.02150080993800753,0.8
288e0cd0d3f8496693014919cdef8ce2,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,dis2,conteo,"[0.63157895 0.82352941 0.78947368 0.63636364 0.95       0.65
 0.82352941 0.65       0.76470588 0.7826087  0.70833333 0.72222222
 0.86666667 0.63157895 0.76190476 0.63636364 0.80952381 0.89473684
 0.7        0.66666667 0.82352941 0.69230769 0.9047619  0.91666667
 0.76190476]",0.7599582797215051,0.019826237760640165,0.64
fa3a0c3c97e4426fb55b93bf770f6c58,,LOCAL,indoor_dataset.py,localadmin,FINISHED,min,dis1,kur,"[0.73684211 0.82352941 0.73684211 0.45454545 0.8        0.55
 0.52941176 0.7        0.94117647 0.73913043 0.75       0.77777778
 0.73333333 0.57894737 0.66666667 0.68181818 0.76190476 0.73684211
 0.65       0.6        0.58823529 0.65384615 0.71428571 0.75
 0.76190476]",0.6966815946500965,0.02097012692541929,0.68
