Run ID,Name,Source Type,Source Name,User,Status,feature_1,feature_2,feature_3,scores,scores_mean,scores_se,score_in_test
19e853644b3849b5bd1895853e4848e7,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,q3q1_ran,kur,"[0.9047619  0.95238095 0.73809524 0.85365854 0.87804878 0.85714286
 0.88095238 0.78571429 0.90243902 0.92682927 0.95238095 0.83333333
 0.9047619  0.7804878  0.85365854 0.88095238 0.88095238 0.71428571
 0.85365854 0.95121951 0.88095238 0.85714286 0.9047619  0.82926829
 0.87804878]",0.8654355400696864,0.012183526002480148,0.8846153846153846
63a47a04366d46a5b325e92323927920,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,q3q1_ran,skew,"[0.88095238 0.95238095 0.76190476 0.85365854 0.85365854 0.9047619
 0.83333333 0.73809524 0.90243902 0.90243902 0.95238095 0.80952381
 0.9047619  0.7804878  0.80487805 0.88095238 0.9047619  0.73809524
 0.82926829 0.95121951 0.83333333 0.85714286 0.95238095 0.82926829
 0.87804878]",0.8596051103368176,0.012870443053785971,0.8653846153846154
07bad53e3164402db055e35a5cfad101,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,q3q1_ran,conteo,"[0.97619048 0.88095238 0.80952381 0.87804878 0.7804878  0.92857143
 0.88095238 0.69047619 0.90243902 0.90243902 0.97619048 0.88095238
 0.88095238 0.82926829 0.87804878 0.88095238 0.92857143 0.83333333
 0.87804878 0.92682927 0.88095238 0.83333333 0.9047619  0.95121951
 0.80487805]",0.8759349593495935,0.012587964999018413,0.8653846153846154
86ab405e2e5c4ede8533f05393e189bc,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,range,kur,"[0.95238095 0.88095238 0.85714286 0.87804878 0.82926829 0.88095238
 0.83333333 0.71428571 0.95121951 0.92682927 0.95238095 0.83333333
 0.88095238 0.80487805 0.80487805 0.83333333 0.95238095 0.83333333
 0.87804878 0.87804878 0.83333333 0.83333333 0.9047619  0.92682927
 0.85365854]",0.8683159117305459,0.011401320636030386,0.9038461538461539
c3307a8119d74201a7051e87d9da9ab1,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,range,skew,"[0.9047619  0.88095238 0.73809524 0.87804878 0.82926829 0.88095238
 0.85714286 0.71428571 0.90243902 0.92682927 0.95238095 0.80952381
 0.88095238 0.75609756 0.73170732 0.80952381 0.95238095 0.83333333
 0.87804878 0.87804878 0.80952381 0.76190476 0.92857143 0.90243902
 0.82926829]",0.8490592334494772,0.013806202218606215,0.8846153846153846
6434ddebd02f416189c6b66a8127ed65,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,range,conteo,"[0.97619048 0.88095238 0.80952381 0.85365854 0.85365854 0.88095238
 0.85714286 0.71428571 0.92682927 0.95121951 0.95238095 0.83333333
 0.88095238 0.80487805 0.82926829 0.83333333 0.88095238 0.83333333
 0.87804878 0.90243902 0.85714286 0.83333333 0.92857143 0.90243902
 0.82926829]",0.8673635307781649,0.011217622391216781,0.8653846153846154
d42e37385141467fb3a531d9034f56a9,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,dis2,kur,"[0.9047619  0.92857143 0.76190476 0.87804878 0.7804878  0.9047619
 0.83333333 0.76190476 0.85365854 0.92682927 0.95238095 0.76190476
 0.88095238 0.82926829 0.90243902 0.80952381 0.9047619  0.73809524
 0.82926829 0.87804878 0.80952381 0.78571429 0.88095238 0.90243902
 0.80487805]",0.8481765389082463,0.012362160050010947,0.8461538461538461
1827af3275af4b278b031aa14eb329e4,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,dis2,skew,"[0.9047619  0.9047619  0.76190476 0.85365854 0.80487805 0.88095238
 0.80952381 0.71428571 0.85365854 0.92682927 0.92857143 0.76190476
 0.88095238 0.7804878  0.73170732 0.80952381 0.9047619  0.78571429
 0.87804878 0.87804878 0.83333333 0.80952381 0.88095238 0.87804878
 0.7804878 ]",0.8374912891986063,0.012341027511635745,0.8846153846153846
46c6f36d2bc74405919f95751e99db9d,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,dis2,conteo,"[0.97619048 0.88095238 0.83333333 0.85365854 0.85365854 0.9047619
 0.83333333 0.69047619 0.90243902 0.87804878 0.95238095 0.85714286
 0.85714286 0.80487805 0.80487805 0.80952381 0.88095238 0.80952381
 0.82926829 0.87804878 0.83333333 0.83333333 0.92857143 0.92682927
 0.80487805]",0.8567015098722416,0.011768589391381297,0.9038461538461539
c80794c1027940df8823089580fd7928,,LOCAL,outdoor_dataset.py,localadmin,FINISHED,min,dis1,kur,"[0.9047619  0.9047619  0.73809524 0.87804878 0.7804878  0.83333333
 0.83333333 0.76190476 0.82926829 0.92682927 0.95238095 0.76190476
 0.88095238 0.80487805 0.80487805 0.83333333 0.92857143 0.73809524
 0.82926829 0.87804878 0.80952381 0.80952381 0.88095238 0.90243902
 0.85365854]",0.8423693379790942,0.012096372121018174,0.8846153846153846
